(1, 39, 160)
(1, 39, 159)
(0, 40, 159)
(1, 40, 159)
(0, 41, 160)
(1, 41, 160)
(1, 41, 161)
(1, 41, 162)
(0, 41, 163)
(0, 41, 164)
(1, 40, 164)
(1, 40, 165)
(0, 41, 166)
(0, 41, 167)
(1, 40, 167)
(0, 40, 168)
(0, 40, 169)
(1, 39, 169)
(0, 39, 169)
(1, 38, 168)
(1, 38, 167)
(0, 38, 167)
(1, 37, 166)
(1, 37, 165)
(0, 37, 165)
(1, 36, 165)
(1, 36, 166)
(1, 36, 167)
(1, 36, 168)
(0, 37, 169)
(1, 37, 169)
(0, 38, 170)
(0, 38, 171)
(0, 38, 172)
(1, 38, 172)
(0, 39, 173)
(0, 39, 174)
(1, 38, 174)
(0, 38, 174)
(1, 37, 174)
(0, 37, 175)
(0, 37, 176)
(0, 37, 177)
(1, 36, 177)
(1, 36, 178)
(0, 37, 179)
(1, 37, 179)
(0, 38, 179)
(1, 38, 179)
(1, 38, 180)
(0, 38, 181)
(0, 38, 182)
(0, 38, 183)
(1, 38, 183)
(0, 39, 184)
(1, 39, 184)
(1, 39, 185)
(0, 40, 186)
(1, 40, 185)
(1, 40, 184)
(0, 41, 184)
(1, 41, 183)
(0, 42, 183)
(0, 42, 182)
(1, 41, 181)
(0, 41, 182)
(1, 40, 182)
(0, 40, 182)
(0, 40, 181)
(0, 40, 180)
(1, 39, 179)
(1, 39, 178)
(0, 39, 178)
(1, 38, 177)
(1, 38, 176)
(0, 39, 176)
(1, 39, 175)
(0, 40, 175)
(0, 40, 174)
(0, 40, 173)
(1, 40, 172)
(0, 41, 173)
(1, 41, 172)
(0, 42, 172)
(1, 42, 171)
(1, 42, 170)
(0, 43, 170)
(1, 43, 169)
(0, 44, 169)
(1, 44, 169)
(0, 45, 169)
(1, 45, 168)
(0, 46, 169)
(0, 46, 170)
(0, 46, 171)
(1, 46, 171)
(0, 47, 171)
(1, 47, 170)
(1, 47, 169)
(0, 48, 169)
(1, 48, 169)
(0, 49, 170)
(1, 49, 170)
(0, 50, 171)
(1, 50, 170)
(0, 51, 171)
(1, 51, 171)
(0, 52, 171)
(1, 52, 170)
(0, 53, 170)
(1, 53, 169)
(1, 53, 168)
(1, 53, 167)
(0, 53, 167)
(1, 52, 167)
(0, 52, 167)
(0, 52, 166)
(0, 52, 165)
(0, 52, 164)
(1, 51, 163)
(1, 51, 162)
(0, 52, 162)
(1, 52, 161)
(1, 52, 160)
(0, 52, 160)
(0, 52, 159)
(1, 51, 158)
(0, 51, 159)
(1, 50, 159)
(1, 50, 160)
(1, 50, 161)
(1, 50, 162)
(1, 50, 163)
(0, 50, 164)
(1, 49, 163)
(0, 49, 164)
(1, 48, 164)
(0, 48, 165)
(1, 47, 165)
(0, 47, 165)
(0, 47, 164)
(1, 46, 163)
(1, 46, 162)
(0, 46, 162)
(1, 45, 162)
(1, 45, 163)
(1, 45, 164)
(0, 46, 165)
(0, 46, 166)
(1, 45, 166)
(0, 45, 166)
(1, 44, 165)
(1, 44, 164)
(1, 44, 163)
(1, 44, 162)
(0, 44, 162)
(0, 44, 161)
(1, 44, 160)
(1, 44, 159)
(1, 44, 158)
(0, 45, 158)
(1, 45, 157)
(0, 46, 158)
(1, 46, 157)
(1, 46, 156)
(0, 46, 156)
(1, 45, 155)
(0, 45, 156)
(1, 44, 155)
(0, 44, 155)
(1, 43, 154)
(0, 43, 155)
(0, 43, 156)
(1, 43, 156)
(1, 43, 157)
(1, 43, 158)
(0, 43, 159)
(1, 42, 158)
(1, 42, 157)
(0, 42, 157)
(1, 41, 156)
(0, 41, 156)
(0, 41, 155)
(0, 41, 154)
(1, 41, 153)
(1, 41, 152)
(0, 42, 152)
(0, 42, 151)
(1, 42, 150)
(0, 43, 151)
(0, 43, 152)
(1, 43, 152)
(0, 44, 153)
(1, 44, 152)
(0, 45, 153)
(1, 45, 152)
(0, 46, 152)
(0, 46, 151)
(0, 46, 150)
(1, 45, 149)
(0, 45, 149)
(0, 45, 148)
(0, 45, 147)
(0, 45, 146)
(1, 45, 145)
(0, 46, 146)
(1, 46, 145)
(1, 46, 144)
(0, 46, 144)
(0, 46, 143)
(1, 46, 142)
(0, 47, 143)
(1, 47, 143)
(0, 48, 144)
(0, 48, 145)
(0, 48, 146)
(1, 48, 146)
(0, 49, 147)
(1, 49, 146)
(0, 50, 146)
(1, 50, 145)
(0, 51, 145)
(0, 51, 144)
(1, 51, 143)
(0, 52, 143)
(1, 52, 142)
(0, 53, 143)
(1, 53, 142)
(0, 54, 142)
(0, 54, 141)
(1, 53, 140)
(1, 53, 139)
(0, 54, 139)
(0, 54, 138)
(0, 54, 137)
(1, 54, 136)
(1, 54, 135)
(1, 54, 134)
(0, 55, 134)
(1, 55, 134)
(0, 56, 135)
(1, 56, 135)
(0, 57, 136)
(0, 57, 137)
(1, 57, 137)
(1, 57, 138)
(1, 57, 139)
(0, 57, 140)
(0, 57, 141)
(1, 57, 141)
(0, 58, 142)
(0, 58, 143)
(1, 58, 143)
(1, 58, 144)
(0, 59, 145)
(1, 59, 144)
(1, 59, 143)
(0, 60, 143)
(1, 60, 142)
(1, 60, 141)
(0, 61, 141)
(0, 61, 140)
(1, 61, 139)
(0, 62, 139)
(1, 62, 138)
(0, 63, 138)
(0, 63, 137)
(1, 63, 136)
(0, 64, 136)
(0, 64, 135)
(1, 63, 134)
(0, 63, 135)
(1, 62, 134)
(0, 62, 134)
(0, 62, 133)
(1, 61, 132)
(0, 61, 133)
(1, 60, 132)
(0, 60, 132)
(0, 60, 131)
(0, 60, 130)
(1, 59, 129)
(0, 59, 129)
(0, 59, 128)
(0, 59, 127)
(1, 58, 126)
(0, 58, 127)
(0, 58, 128)
(0, 58, 129)
(0, 58, 130)
(1, 57, 130)
(0, 57, 130)
(1, 56, 129)
(0, 56, 129)
(0, 56, 128)
(1, 56, 127)
(1, 56, 126)
(1, 56, 125)
